Review ID,Raw Review Text,Final Entity,Final Tag,clean_Raw Review Text,token,counter,dup_count,mismatch_count,ground
0,"we have four of these now , three queen and a king , purchased through amazon over a couple of years . comfortable , reliable . . . the best .","['a couple of years', 'amazon', 'comfortable', 'four', 'king', 'purchased', 'queen', 'reliable', 'three']","['Duration', 'Amazon', 'Comfort', 'Quantity', 'Mattress Size', 'Purchase', 'Mattress Size', 'Reliability', 'Quantity']","we have four of these now , three queen and a king , purchased through amazon over a couple of years . comfortable , reliable . . . the best .","['we', 'have', 'four', 'of', 'these', 'now', ',', 'three', 'queen', 'and', 'a', 'king', ',', 'purchased', 'through', 'amazon', 'over', 'a', 'couple', 'of', 'years', '.', 'comfortable', ',', 'reliable', '.', '.', '.', 'the', 'best', '.']","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,"['O', 'O', 'B-Quantity', 'O', 'O', 'O', 'O', 'B-Quantity', 'B-Mattress Size', 'O', 'O', 'B-Mattress Size', 'O', 'B-Purchase', 'O', 'B-Amazon', 'O', 'B-Duration', 'I-Duration', 'I-Duration', 'I-Duration', 'O', 'B-Comfort', 'O', 'B-Reliability', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"in the beginning , this mattress is great ! i could not believe i got such an amazing mattress#1 at this price , but even about a month in , i could feel it sagging . : ( it started out more firm , which i liked because i have scoliosis and that support is important for me . but the sag just got worse and worse . : ( really bummed to be returning this mattress#2 but i am so grateful for the 100 night trial .","['100 night', 'a month', 'feel', 'firm', 'mattress', 'mattress#1', 'mattress#2', 'price', 'returning', 'sag', 'sagging', 'scoliosis', 'support', 'trial']","['Trial Period', 'Duration', 'Feel', 'Firmness', 'Mattress', 'Mattress', 'Mattress', 'Price', 'Return', 'Damage', 'Damage', 'Pain Relief', 'Support', 'Trial Period']","in the beginning , this mattress is great ! i could not believe i got such an amazing mattress#1 at this price , but even about a month in , i could feel it sagging . : ( it started out more firm , which i liked because i have scoliosis and that support is important for me . but the sag just got worse and worse . : ( really bummed to be returning this mattress#2 but i am so grateful for the 100 night trial .","['in', 'the', 'beginning', ',', 'this', 'mattress', 'is', 'great', '!', 'i', 'could', 'not', 'believe', 'i', 'got', 'such', 'an', 'amazing', 'mattress', 'at', 'this', 'price', ',', 'but', 'even', 'about', 'a', 'month', 'in', ',', 'i', 'could', 'feel', 'it', 'sagging', '.', ':', '(', 'it', 'started', 'out', 'more', 'firm', ',', 'which', 'i', 'liked', 'because', 'i', 'have', 'scoliosis', 'and', 'that', 'support', 'is', 'important', 'for', 'me', '.', 'but', 'the', 'sag', 'just', 'got', 'worse', 'and', 'worse', '.', ':', '(', 'really', 'bummed', 'to', 'be', 'returning', 'this', 'mattress', 'but', 'i', 'am', 'so', 'grateful', 'for', 'the', '100', 'night', 'trial', '.']","[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,"['O', 'O', 'O', 'O', 'O', 'B-Mattress', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Mattress', 'O', 'O', 'B-Price', 'O', 'O', 'O', 'O', 'B-Duration', 'I-Duration', 'O', 'O', 'O', 'O', 'B-Feel', 'O', 'B-Damage', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Firmness', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Pain Relief', 'O', 'O', 'B-Support', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Damage', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Return', 'O', 'B-Mattress', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Trial Period', 'I-Trial Period', 'B-Trial Period', 'O']"
2,"soft sides , but comfortable lying down to sleep . reasonable value when compared to other options for a 14 inch mattress with inner springs and foam .","['14 inch', 'comfortable', 'foam', 'inner springs', 'lying down', 'mattress', 'reasonable', 'sides', 'sleep', 'soft', 'value']","['Thickness', 'Comfort', 'Foam', 'Springs', 'Laying On', 'Mattress', 'Price', 'Side', 'Sleep Quality', 'Firmness', 'Saving Money']","soft sides , but comfortable lying down to sleep . reasonable value when compared to other options for a 14 inch mattress with inner springs and foam .","['soft', 'sides', ',', 'but', 'comfortable', 'lying', 'down', 'to', 'sleep', '.', 'reasonable', 'value', 'when', 'compared', 'to', 'other', 'options', 'for', 'a', '14', 'inch', 'mattress', 'with', 'inner', 'springs', 'and', 'foam', '.']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,"['B-Firmness', 'B-Side', 'O', 'O', 'B-Comfort', 'B-Laying On', 'I-Laying On', 'O', 'B-Sleep Quality', 'O', 'B-Price', 'B-Saving Money', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Thickness', 'I-Thickness', 'B-Mattress', 'O', 'B-Springs', 'I-Springs', 'O', 'B-Foam', 'O']"
3,actually price is good but this profuct made me so sad . uncomfortable and hard ! ! !,"['hard', 'price', 'profuct', 'uncomfortable']","['Firmness', 'Price', 'Product', 'Comfort']",actually price is good but this profuct made me so sad . uncomfortable and hard ! ! !,"['actually', 'price', 'is', 'good', 'but', 'this', 'profuct', 'made', 'me', 'so', 'sad', '.', 'uncomfortable', 'and', 'hard', '!', '!', '!']","[1, 1, 1, 1]",0,0,"['O', 'B-Price', 'O', 'O', 'O', 'O', 'B-Product', 'O', 'O', 'O', 'O', 'O', 'B-Comfort', 'O', 'B-Firmness', 'O', 'O', 'O']"
4,reduced snoring . comfy .,"['comfy', 'snoring']","['Comfort', 'Snoring Relief']",reduced snoring . comfy .,"['reduced', 'snoring', '.', 'comfy', '.']","[1, 1]",0,0,"['O', 'B-Snoring Relief', 'O', 'B-Comfort', 'O']"
5,"very soft , not a firm mattress . conforms to your body but if you sleep on your side you will eventually need to roll over because one side aches .","['conforms to', 'body', 'firm', 'mattress', 'side aches', 'sleep on your side', 'soft']","['Conformance', 'Body', 'Firmness', 'Mattress', 'Pain Relief', 'Side Sleeper', 'Firmness']","very soft , not a firm mattress . conforms to your body but if you sleep on your side you will eventually need to roll over because one side aches .","['very', 'soft', ',', 'not', 'a', 'firm', 'mattress', '.', 'conforms', 'to', 'your', 'body', 'but', 'if', 'you', 'sleep', 'on', 'your', 'side', 'you', 'will', 'eventually', 'need', 'to', 'roll', 'over', 'because', 'one', 'side', 'aches', '.']","[1, 1, 1, 1, 1, 1, 1]",0,0,"['O', 'B-Firmness', 'O', 'O', 'O', 'B-Firmness', 'B-Mattress', 'O', 'B-Conformance', 'I-Conformance', 'O', 'B-Body', 'O', 'O', 'O', 'B-Side Sleeper', 'I-Side Sleeper', 'I-Side Sleeper', 'I-Side Sleeper', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Pain Relief', 'I-Pain Relief', 'O']"
6,"i replaced my old twin with this and it is very very soft . that is what i wanted . if you want firm , this is not !","['old', 'firm', 'replaced', 'soft', 'twin']","['Newness', 'Firmness', 'Replace Products', 'Firmness', 'Mattress Size']","i replaced my old twin with this and it is very very soft . that is what i wanted . if you want firm , this is not !","['i', 'replaced', 'my', 'old', 'twin', 'with', 'this', 'and', 'it', 'is', 'very', 'very', 'soft', '.', 'that', 'is', 'what', 'i', 'wanted', '.', 'if', 'you', 'want', 'firm', ',', 'this', 'is', 'not', '!']","[1, 1, 1, 1, 1]",0,0,"['O', 'B-Replace Products', 'O', 'B-Newness', 'B-Mattress Size', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Firmness', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Firmness', 'O', 'O', 'O', 'O', 'O']"
7,comfortableand easy to put away for storage,"['comfortableand', 'easy', 'put away', 'storage']","['Comfort', 'Ease', 'Storage', 'Storage']",comfortableand easy to put away for storage,"['comfortableand', 'easy', 'to', 'put', 'away', 'for', 'storage']","[1, 1, 1, 1]",0,0,"['B-Comfort', 'B-Ease', 'O', 'B-Storage', 'I-Storage', 'O', 'B-Storage']"
8,first night on it . i woke up in a good mood for once,"['first', 'good mood', 'night', 'woke up']","['Ordinal', 'Mood Improvement', 'Time Of Day', 'Waking Up']",first night on it . i woke up in a good mood for once,"['first', 'night', 'on', 'it', '.', 'i', 'woke', 'up', 'in', 'a', 'good', 'mood', 'for', 'once']","[1, 1, 1, 1]",0,0,"['B-Ordinal', 'B-Time Of Day', 'O', 'O', 'O', 'O', 'B-Waking Up', 'I-Waking Up', 'O', 'O', 'B-Mood Improvement', 'I-Mood Improvement', 'O', 'O']"
9,"my mother loves it and have better sleep times . comfortable , wakes up pain - free and refreshed .","['better sleep times', 'comfortable', 'mother', 'pain - free', 'refreshed', 'wakes up']","['Sleep Quality', 'Comfort', 'Family Members', 'Pain Relief', 'Feeling Refreshed', 'Waking Up']","my mother loves it and have better sleep times . comfortable , wakes up pain - free and refreshed .","['my', 'mother', 'loves', 'it', 'and', 'have', 'better', 'sleep', 'times', '.', 'comfortable', ',', 'wakes', 'up', 'pain', '-', 'free', 'and', 'refreshed', '.']","[1, 1, 1, 1, 1, 1]",0,0,"['O', 'B-Family Members', 'O', 'O', 'O', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'I-Sleep Quality', 'O', 'B-Comfort', 'O', 'B-Waking Up', 'I-Waking Up', 'B-Pain Relief', 'I-Pain Relief', 'I-Pain Relief', 'O', 'B-Feeling Refreshed', 'O']"
